iter	MultiClass
0	1.704528429
1	1.626678764
2	1.559223968
3	1.497549252
4	1.433383167
5	1.376949607
6	1.337749512
7	1.306150168
8	1.264719066
9	1.230612473
10	1.201425631
11	1.174465491
12	1.144647302
13	1.120858115
14	1.097716746
15	1.081333109
16	1.06316806
17	1.04190494
18	1.019176984
19	0.9982075007
20	0.9831206376
21	0.9614003027
22	0.9413396158
23	0.9248734369
24	0.9131784964
25	0.9025552671
26	0.8845877874
27	0.8666937098
28	0.8523554063
29	0.840457551
30	0.8254863916
31	0.8044230789
32	0.7915228298
33	0.7838521314
34	0.7692779681
35	0.7593084262
36	0.7484953445
37	0.7400037917
38	0.7323032753
39	0.7256913573
40	0.7185843264
41	0.7111659257
42	0.7033818903
43	0.6945053026
44	0.6860811377
45	0.679717635
46	0.673322134
47	0.6682253912
48	0.6616276238
49	0.6570467538
50	0.6519042098
51	0.6446242566
52	0.6402692585
53	0.62931295
54	0.6237433998
55	0.6200089113
56	0.6129966353
57	0.6027074174
58	0.5934542319
59	0.5863444512
60	0.5842153279
61	0.5791956294
62	0.574047906
63	0.5683512948
64	0.5646257064
65	0.5630238697
66	0.5571712074
67	0.5510679408
68	0.5442753365
69	0.5386851514
70	0.5293664599
71	0.5236627456
72	0.5190597833
73	0.5143131664
74	0.5051004771
75	0.4996782581
76	0.4982683206
77	0.4939435506
78	0.4878835161
79	0.4840369728
80	0.4765737755
81	0.4718480445
82	0.4663255284
83	0.4629564332
84	0.4597233766
85	0.4563004721
86	0.4539736035
87	0.4524236418
88	0.4441903196
89	0.4370797952
90	0.4344306643
91	0.4283270873
92	0.422233448
93	0.4200294754
94	0.4176774001
95	0.4120453046
96	0.4036304291
97	0.39819833
98	0.3940288332
99	0.3917403297
100	0.3878336245
101	0.3837930631
102	0.3806121897
103	0.3777761416
104	0.3736473518
105	0.367053047
106	0.3623359361
107	0.3578614408
108	0.355306798
109	0.3492843201
110	0.3470466141
111	0.3454474749
112	0.3406062174
113	0.3357509872
114	0.3347801194
115	0.3309458827
116	0.3260911185
117	0.3224567039
118	0.3200364126
119	0.3162115856
120	0.3132863039
121	0.3081493377
122	0.3059056685
123	0.3031459794
124	0.3002788709
125	0.2977554485
126	0.2941712649
127	0.2920405666
128	0.2892720798
129	0.2857731289
130	0.2838138338
131	0.2809107772
132	0.2795691791
133	0.2766437795
134	0.2751478371
135	0.2732831676
136	0.271684551
137	0.2687090991
138	0.2656565219
139	0.2636430463
140	0.2580174109
141	0.2560311388
142	0.2538421531
143	0.252286558
144	0.2494463257
145	0.2474237435
146	0.2468841051
147	0.2452999921
148	0.2442589115
149	0.241430366
150	0.2388353896
151	0.237021298
152	0.2364279197
153	0.2343723953
154	0.2336943876
155	0.2311331848
156	0.2292022387
157	0.2271310203
158	0.2258326553
159	0.2238783755
160	0.2220836712
161	0.2204490856
162	0.2184793372
163	0.2170187517
164	0.2166364656
165	0.2150438173
166	0.2136036748
167	0.2127792546
168	0.2111854502
169	0.2099281905
170	0.209384603
171	0.2078948379
172	0.2060432397
173	0.2051222394
174	0.2037331083
175	0.2019368249
176	0.2003697373
177	0.1990645114
178	0.1969160954
179	0.1954620226
180	0.1952996199
181	0.19389464
182	0.1917686924
183	0.1908425755
184	0.1896842098
185	0.1892205742
186	0.1884773238
187	0.1880561235
188	0.1877405444
189	0.1860739936
190	0.1849956166
191	0.1842036914
192	0.183066938
193	0.1822353495
194	0.1803671736
195	0.1799335917
196	0.1781490452
197	0.1772818787
198	0.1761372024
199	0.1741866964
200	0.1731565124
201	0.1718532379
202	0.1704541644
203	0.1695119956
204	0.1687007745
205	0.1674714509
206	0.1666140363
207	0.1662402374
208	0.16618992
209	0.1659086118
210	0.1652732487
211	0.1638012248
212	0.1626944615
213	0.1609697389
214	0.1604037872
215	0.1593732768
216	0.1590532619
217	0.1575861663
218	0.1563000523
219	0.1557303121
220	0.1556293112
221	0.1543926708
222	0.1537832229
223	0.153131416
224	0.1525498548
225	0.1516490006
226	0.1505388524
227	0.1498003568
228	0.1493926409
229	0.1487908865
230	0.1476702262
231	0.1467638607
232	0.1457911638
233	0.1457041768
234	0.1446533307
235	0.1437862822
236	0.1432992041
237	0.1428827336
238	0.1412583549
239	0.1400321186
240	0.1385175832
241	0.1379511656
242	0.1371630767
243	0.1362704432
244	0.1349884967
245	0.1343100105
246	0.1340999999
247	0.1339876145
248	0.1335778546
249	0.1326662765
250	0.1321542082
251	0.1309651997
252	0.1304071981
253	0.1299434428
254	0.1296736996
255	0.1292418642
