iter	Passed	Remaining
0	167	1373108
1	213	876006
2	251	687150
3	289	593540
4	328	537678
5	366	499867
6	404	472807
7	443	453737
8	491	446851
9	529	433591
10	570	423951
11	609	415780
12	655	412376
13	696	406766
14	738	402532
15	780	398594
16	847	407732
17	887	403159
18	926	398480
19	978	399913
20	1024	398661
21	1064	395153
22	1101	391390
23	1140	388107
24	1178	384849
25	1216	382101
26	1255	379696
27	1294	377419
28	1333	375425
29	1372	373428
30	1412	371978
31	1453	370746
32	1492	369018
33	1531	367446
34	1569	365839
35	1608	364401
36	1647	363064
37	1685	361710
38	1724	360548
39	1764	359689
40	1803	358540
41	1842	357471
42	1882	356763
43	1920	355678
44	1959	354704
45	1998	353921
46	2047	354905
47	2087	354138
48	2139	355615
49	2177	354658
50	2215	353667
51	2254	352959
52	2293	352206
53	2347	353729
54	2386	353009
55	2424	352213
56	2463	351559
57	2511	352206
58	2549	351414
59	2587	350705
60	2625	349988
61	2663	349277
62	2700	348502
63	2739	347947
64	2779	347484
65	2817	346834
66	2865	347508
67	2913	348118
68	2952	347528
69	2989	346923
70	3028	346379
71	3069	346165
72	3111	346049
73	3149	345537
74	3204	346799
75	3242	346310
76	3298	347580
77	3338	347288
78	3381	347290
79	3422	347064
80	3463	346825
81	3512	347378
82	3551	346978
83	3590	346556
84	3628	346086
85	3667	345658
86	3705	345206
87	3743	344780
88	3781	344295
89	3820	343908
90	3858	343482
91	3911	344387
92	3950	344053
93	3989	343650
94	4027	343237
95	4066	342960
96	4104	342565
97	4153	343050
98	4192	342720
99	4229	342236
100	4284	343200
101	4322	342823
102	4360	342442
103	4398	342083
104	4436	341732
105	4476	341466
106	4515	341172
107	4554	340887
108	4594	340735
109	4632	340378
110	4671	340118
111	4710	339844
112	4749	339536
113	4787	339232
114	4826	338956
115	4864	338652
116	4901	338308
117	4949	338631
118	4986	338314
119	5025	338020
120	5064	337813
121	5102	337506
122	5153	338086
123	5192	337841
124	5231	337605
125	5268	337262
126	5305	336941
127	5343	336659
128	5382	336404
129	5422	336249
130	5468	336494
131	5512	336600
132	5538	335594
133	5576	335319
134	5615	335117
135	5653	334909
136	5692	334680
137	5730	334419
138	5768	334224
139	5807	333994
140	5856	334401
141	5895	334244
142	5950	334949
143	5989	334765
144	6029	334607
145	6067	334367
146	6107	334257
147	6144	333974
148	6182	333748
149	6222	333584
150	6261	333418
151	6301	333293
152	6343	333290
